group,n,n_detected,detection_rate,detection_rate_percent,detection_ci_low,detection_ci_high,detection_ci_low_percent,detection_ci_high_percent,mean_abundance,mean_abundance_ci_low,mean_abundance_ci_high,median_abundance,positive_only_mean_abundance
Healthy,714,126,0.17647058823529413,17.647058823529413,0.1502607353465575,0.2061431135492743,15.026073534655751,20.61431135492743,0.0015069887955182072,0.0006101981792717086,0.002794674019607841,0.0,0.008539603174603175
Stage 0,83,22,0.26506024096385544,26.506024096385545,0.18204414020123166,0.36886160770282844,18.204414020123167,36.88616077028284,0.003388915662650602,0.0008358855421686747,0.007176123493975897,0.0,0.012785454545454544
Stage I,174,73,0.41954022988505746,41.95402298850575,0.3487295867421836,0.49382681047995935,34.87295867421836,49.38268104799594,0.010890747126436782,0.0062529856321839085,0.016063974137931036,0.0,0.025958767123287672
Stage II,145,81,0.5586206896551724,55.86206896551724,0.47732137187351537,0.6368941171084859,47.73213718735153,63.68941171084859,0.02817186206896552,0.01641205172413793,0.044026387931034486,0.00065,0.050431111111111114
Stage III,176,87,0.4943181818181818,49.43181818181818,0.4213684303461268,0.5675106634228243,42.13684303461268,56.75106634228243,0.04141693181818182,0.018902328125,0.06975676988636362,0.0,0.08378597701149426
Stage IV,91,44,0.4835164835164835,48.35164835164835,0.38360858051531044,0.5847596833504767,38.360858051531046,58.47596833504767,0.041214395604395604,0.017895758241758243,0.07054118131868131,0.0,0.08523886363636364
